id,name,college,country
3898,Isaac Okoro,Auburn,USA
3904,Isaiah Joe,Arkansas,USA
3911,Isaiah Stewart,Washington,USA
3637,Devin Vassell,Florida State,USA
3957,Jaden McDaniels,Washington,USA
3963,Jae'Sean Tate,Ohio State,USA
3970,Jahmi'us Ramsey,Texas Tech,USA
3983,Jalen Harris,Nevada,USA
3993,Jalen Smith,Maryland,USA
3633,Devin Cannady,Princeton,USA
3627,Desmond Bane,TCU,USA
3326,Brodric Thomas,Truman State,USA
3349,CJ Elleby,Washington State,USA
3372,Cameron Oliver,Nevada,USA
3264,Axel Toupane,,France
3143,Aaron Nesmith,Vanderbilt,USA
3166,Aleksej Pokusevski,,Serbia
3192,Amida Brimah,Connecticut,USA
3379,Cameron Reynolds,Tulane,USA
3228,Anthony Edwards,Georgia,USA
3232,Anthony Gill,Virginia,USA
3235,Anthony Lamb,Vermont,USA
3248,Armoni Brooks,Houston,USA
3254,Ashton Hagans,Kentucky,USA
3202,Anderson Varejao,,Brazil
3539,Darius Miller,Kentucky,USA
3571,DeMarcus Cousins,Kentucky,USA
3584,Deividas Sirvydis,,Lithuania
3594,Deni Avdija,,Israel
3509,Daniel Oturu,Minnesota,USA
3392,Cassius Stanley,Duke,USA
3395,Cassius Winston,Michigan State,USA
3441,Chuma Okeke,Auburn,USA
3457,Cole Anthony,North Carolina,USA
3490,Dakota Mathias,Purdue,USA
4149,Jontay Porter,Missouri,USA
4809,Robert Franks,Washington State,USA
4815,Robert Woodard II,Mississippi State,USA
4864,Saben Lee,Vanderbilt,USA
4868,Saddiq Bey,Villanova,USA
4871,Sam Merrill,Utah State,USA
4874,Sean McDermott,Butler,USA
4796,Reggie Perry,Mississippi State,USA
4695,Obi Toppin,Dayton,USA
4701,Onyeka Okongwu,Southern California,USA
4750,Paul Reed,DePaul,USA
4757,Payton Pritchard,Oregon,USA
4760,Precious Achiuwa,Memphis,Nigeria
4770,R.J. Hampton,,USA
4783,Ray Spalding,Louisville,USA
4737,Patrick Williams,Florida State,USA
4913,Skylar Mays,Louisiana State,USA
5044,Trent Forrest,Florida State,USA
5073,Ty-Shon Alexander,Creighton,USA
